
# The Grey NATO – 187 – Watches & Wonders 2022
Published on Thu, 07 Apr 2022 06:42:54 -0400



## Synopsis
The podcast discusses the recent Watches and Wonders event in Geneva, where new watch releases from various brands were showcased. Jason, who attended the event, shares his hands-on experiences and impressions of some of the standout pieces, including the Tudor Black Bay Pro, Doxa's white pearl carbon watches with lume dials, and the Oris Pro Pilot X. James, who was in Sri Lanka during the event, offers his thoughts on the releases from afar. They also touch on other notable unveilings from brands like Grand Seiko, IWC, Rolex, and Patek Philippe, among others.

## Links
- [episode page](https://thegreynato.substack.com/p/ww2022)
- [episode MP3](https://www.buzzsprout.com/2049759/11310931-the-grey-nato-187-watches-wonders-2022.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|James Stacey|It was great.  What about some of the other kind of big hitters there? |
|Jason Heaton|I mean, uh, yeah, the others that I would call extras for us quite literally, cause it's way outside the scope of what we normally chit chat about is like Cartier had some incredible stuff. Um, the new, uh, Louis, uh, tank Louis Cartier was, was really beautiful. And if you're in the, if you're in that zone, you know, you know, great movement, nice size, the, the jet black dial without the markers. Uh, I really, I was like weirdly smitten with the Santos Dumont with the lacquer filled case. I put it on my Instagram. You can check it out there.  It's, it's, it's looked like a Santos, but it's made a, it almost looks like it's made out of ivory. Oh, okay. Um, it's, it's a, it's incredibly beautiful in person and still somehow feels a little bit sporty. Uh, really, really nicely done. Um, let's see. Oh, I mean, paddock kind of sporty, right? Largely offered to, to, to have the most like TGN options they've ever made. So they've got a nice three hand with a date Calatrava.  that kind of has like a smoky matte dial and tan accents. It comes on like a kind of new buck suede sort of strap, syringe hands. I really like this. I understand there's some Patek people, this is like everything they do that are upset about it or don't want the Calatrava to go in this kind of casual direction. I like it. And then, but man, you got to know, I like that. Yeah. 5326, which is the annual calendar with the travel time. And it's all, they've reworked the whole movement has eight patents.  pending on it, but they've reworked the movement so you control everything from the crown. Whereas, of course, most of the travel times have pushers on the nine o'clock side of the case to go front and back. I think this is an absolute knockout of a watch. Due to COVID reasons and other stuff, Patek only had only two people could go, so Jack and John went. So I didn't get to see these in person, and sadly, I don't know if I ever will. But among the things that I really wish I had seen and were able to get a wrist shot, and I'm sure I'll see one eventually for a wrist shot, but that 53 26. Read the story on it. It's a, it's a next level piece. It's this like sporty kind of everyday casual sort of vibe in a Cal traffic case, but then just tech coming out every, every corner of the watch. There's like I said, the annual calendar, which is a very protect sort of complication. And then on top of that, you have the travel time and it's still that syringe hands and the sort of Matt gradient texture dial. It's a real blend of casual and kind of complicated Patek in one watch. And I think they, I think it's, I think they made something really, really cool for sure. I mean, 75 grand. Sure. So yeah. Yeah. White gold. I'm not, I'm not getting one, but I think it's really, really cool that it exists. And especially if you go to the main story, the sort of introducing on Hodinkee that the hero image is one where it's on the suede strap. But if you scroll down to the second image, I think the lighting significantly better. And it's on like a, a black kind of charcoal gray textile strap.  And I just think this is a knockout of a watch. I love, but I love a dual time Patek as well. I think they're really charming and kind of cool. What else have we got on the tour? Very expensive stuff. Oh yeah. Lange titanium Odysseus. Crazy. |
|James Stacey|I saw this and I can't warm up to the aesthetic of that watch. I mean, of course I love Lange. |
|Jason Heaton|I don't think it's pretty. Yeah. |
|James Stacey|Yeah. It's a bit, it's just too square. It's just too, it's too burly for, I don't know, just doesn't, doesn't suit my eyes, but you know, they always do such amazing stuff. |
|Jason Heaton| beautiful execution. I think unbelievably interesting dial colorway in this sort of light steely blue at different angles. It's dark and then it's light and there's no color and there's a lot of blue. I really like that. The finishing on the titanium is like nothing I've ever seen. So every little facet, all the bevels are hand finished, but the base finish for a lot of elements of the case and the bracelet are this form of bead blasting. It's media blasting and they They said what the media was that they used, but I think it was the French or the German term for it. It has this incredible ability to absorb light and just appear very matte. And then when you combine that with the kind of finishing of the dial furniture, the markers and such, and then this hand polishing on the bracelet links, the effect is not like anything I've ever seen. And it screams like high end, even though it is kind of the most casual execution of this watch being titanium.  and that sort of thing. And they said that the goal here was their customers are saying, you've made us all these great watches, but none I can take on vacation. Sure. So the goal here is the one you can take for a swim and not really worry about it and that sort of thing. So if you're a big Lange head, I totally get the appeal of a watch like this. I think for Jason and I who have yet to own our first Lange and that a condition may hold for some time, I think. But I would be pulled towards an 1815 Lange 1. I know you're a big Ricard Lange fan. Yeah.  Yeah. And so there's definitely the brand does so much, so well. Right. And it's also a brand that like, I don't get to see them unless I go to a watch show. You know what I mean? Yeah. It's like, you don't, you don't, I don't spend a lot of time around long otherwise, sadly, but a really, really good stuff for sure. I got to sit down quickly with the guys from Serica. Oh, okay. This is a little bit more in our wheelhouse and they have some really, I can't talk about any of it. None of it's out yet, but get excited if you've been on the list for a Serica or if you haven't been able to get something because they've been out of stock.  know, they're cursed by their success. They've sold through everything. But they have some interesting stuff coming up. So don't forget about Serica. Really, really cool stuff and great to see those guys. Such lovely guys, for sure. And then the other thing that came out while we were there is a new Aquastar. Yeah, that came out. |
|James Stacey|Did you get a peek at this? Out of left field. Yeah. No, I just got the email like everybody else that said... Yeah.  Aquastar has listened to its customers and we've come out with a mid-sized Deepstar, which, you know, is something, it was the one quibble that everyone had with the original Deepstar reissue from a couple of years ago, is that it was just simply didn't wear as well on kind of smaller or medium-sized wrists. And lo and behold, it's the mid-sized version, which isn't quite the original dimensions of the 1960s Aquastar, but I think that this is a smart move for them to go with a 39 millimeter case. I think it'll, I think it'll wear tremendously. |
|Jason Heaton| Uh, yeah, no, I absolutely agree. This is one, um, uh, Rick was kind enough to send me an email, so I should be able to, uh, take a look at one shortly and, and I'm excited this, you know, I think I'm, I'm long on record saying that one of my favorite vintage dive watches is the original deep star as much as I absolutely adore. And I do, and I'm, I'm, it's one of my favorite summer watches, the 41 millimeter execution, uh, Jason, which is a gift from you. And I absolutely love. And then now we have this new version. So I really like where the brand's going. Obviously you and our huge fans.  kind of wall-to-wall of what Rick gets up to with his variety of brands and such, and the Aquastar stuff is no exception. So I wanted to make sure we mentioned it because it came out kind of like two or three days into Watches & Wonder, a kind of stealthy launch of an option from Aquastar, but a very cool thing. So now's the part where I worry that we've forgotten something. That's everything that I think that I was able to see in person when I was there, but there was a lot, right? There's a lot of brands and some stuff that I didn't see.  And what stands out for you? What's your stuff that you were most excited about? |
|James Stacey|Yeah, I mean, part of me was jealous not to go. I mean, I felt very nostalgic for Geneva and kind of the vibe we used to have in January. I did my fondue, buddy. Yeah, fondue and kind of that gray windblown rain that you get in Geneva in January. I hope the weather was a little better for you this time. |
|Jason Heaton| It was, yeah. It was a little rainy, but it was fine. It snowed a bunch as well. |
|James Stacey|It must have been fun to see such a weird mix of brands in kind of the same space. I mean, to have Tudor and IWC in the same hall with Oris and Tag Heuer. You know, for me, it was kind of oddball stuff. It was like the Evo 9 GMT from Grand Seiko stood out. Good stuff, yeah. There was an Orange Dial Aquaracer that I kind of kept scrolling back to and kind of looking at, which I thought was really cool. The ProPilot X400 from Oris.  And you know, Zyn, although Zyn wasn't technically part of the show, that, I don't know, that EZM 1.1 was like, yeah, I think, I think of all of them. Super cool. It's like that kind of came late into kind of my awareness. I just like stumbled upon it yesterday, I think it was. And I was like, wow, that is, I'd love to have that thing on my wrist. That is just such a cool watch. It's killer. Yeah. Yeah. And, and for you, it's gotta be the Doxa, right? |
|Jason Heaton| It's, I mean, yeah, it's, it's the tutor BB pro it's the docks of white pearl and carbon. And it's that a pro pilot 400. Yeah. That's a great pro pilot X 400. I think those are the three that like they're all right around four grand, which I think is currently kind of the sweet spot. If you want something well-made and interesting with docks, you don't have to spend that much to get the docs as normal level of quality. Uh, you know, obviously, uh, uh, the 300 is, you know, $2,400, something like that.  So you're paying a lot for the carbon and for the loom dial. And honestly, at this point, I'm okay with that. I have other, I have, you know, I still have my Sea Rambler. It's not going anywhere. I love that watch. Uh, so I'm a little spoiled that way, but those would be the three that, that for me, I'm not going to stop thinking about that. I have plans to make kind of larger full-scale stories, especially for that BB pro. I think that that one, that watch needs an adventure that needs some storytelling, that sort of thing. So I think there's some fun in there. And, uh, those are the ones that kind of, I fell in love with immediately could easily see spending.  my own money on. Um, and, uh, and I'm looking forward to Cole's right up on the, on the pro pilot for sure, to go a little deeper because he has a nice context when it comes to these sorts of things as well. Yeah. And then as a show, as a show at large, I mean, the, the big thing that struck me was just, everyone was so happy to have this happen again. Yeah, I'm sure. You know, like, like the watches could have been worse. We could have had less to talk about and everybody just would have been happy seeing their camp friends and reconnecting. And, you know, I, I got to hang out with Matt Heranek a bunch and he says, hi, of course.  And we just got to see a ton of people that we haven't seen in a long time. And it felt largely safe. You know, there's lots of testing and, and, uh, you know, like for example, everyone from hooding, he was able to make it home despite the fact that, you know, going back in the States, you need to test. So all of that worked out. It was nice and safe. It didn't feel too crazy. It didn't feel too uncomfortable. You were, there was no frowning upon if you decided to wear a mask, um, and that sort of thing. Um, so I think, I think it was good and it just felt kind of healthy to, to have, it back. If those words make any sense, like, I don't know that I want to do another one. Like if this was SIHH and I knew I had Basel in eight weeks or something, seven weeks, I'd be stressed about that. But to do the one and to have gone full out and seen a lot of people and covered a lot of watches and missed a lot of sleep, I think we did it. And it felt good. It felt better than I expected, for sure. That's great. That's awesome. And huge kudos to the, you know, to the team at Hodinkee. One, a big thank you for taking me and getting me the show and then to the leadership just for kind of keeping everything together. It's a brand new show, largely. It's a lot of new folks on the team. And I think they pulled off the majority of what we sought to do at the show and at a high level for the most part. So it's always a treat to see those people in person rather than just on Zoom calls and their name on Slack. So for the most part, aside from some scratchy throat, it was great. |
|James Stacey| Yeah. Well, cool. Congrats. And, uh, yeah, I hope you can get some rest now. I mean, you were crushing it on the, uh, the daily podcast as well, as well as the writing stuff and the, and the photography. So, yeah, I forgot about the pod. |
|Jason Heaton|Yeah, we did four. Uh, and yeah, we're, we're recording another one today for next week. So it's, it's a busy schedule. It'll remain busy, I'm sure. But I'm going to put my work in now so I can take some time off this summer and you know, work on the cabin and that sort of stuff. But yeah, I hope this kind of covers the majority of what people wanted to see. Obviously, if we miss something major, which I'm sure maybe we did, uh, you know, the days, uh, D A Z E, uh, have, have really set in when it comes to kind of remembering everything, uh, but put it in the show notes, let us know we can, we can rectify it. I can drop you a little message. If there's something you think that we missed or that we got wrong, but this is the stuff that really stuck out in my kind of, um, soft memory these days.  and the stuff that I enjoyed and that kind of stuff. So I think that probably puts a wrap on the show. You want to get into some final notes? |
|James Stacey|Yeah, mine ties into a previous episode of TGN. We had Becky Kagan shot on as a guest a couple of months ago, chatting about her work as an underwater photographer. And Becky's been working with Seiko and their Prospex series of ice diver watches for a little over a year. And I stumbled upon this video that she did with Seiko. It's about a six minute video, I think, on YouTube.  put on Seiko's channel. And it's called Becky Kagan Shot Explores Alaska's Glacier Moulins Underwater. And it's a cool video. I mean, there's some watch content, a little bit of kind of blatant kind of wrist, you know, wrists held out and that sort of thing. But it's really a fascinating look at something that a little project that Becky did where she was up in Alaska this past winter.  Diving in some very cold conditions inside these kind of washes that that flow between the the glaciers there and the crevasses and You know, I had done some ice diving this past winter and we chatted about that this is this takes us to a whole new level and and Becky's great and she did a nice kind of presentation about that. So Yeah, this the check out this video I mean if you know can't beat it it's watches and it's it's a co and it's diving and|
|Jason Heaton| Oh, it's helicopters. Becky looking like a complete boss in a helicopter. |
|Unknown|Yeah. |
|Jason Heaton|No, this is super cool. And the, um, the level of, um, of like quality, the quality and the production is really high. It's very, it's very, which I, which I really appreciate. Cause there's a lot of times where brands will phone this part in or the, the, the team they get to make these videos don't know watches well enough, or they don't know adventures well enough for like, it's a hard thing to blend someone who's good at shooting a watch, but also good at shooting out in a, you know, an icy tundra. Oh yeah. Yeah. Yeah.  I would love a much longer version as I'm sure many people are asking for in the comments, but super happy for Becky. And yeah, I watched this this morning and it's cool. You know, I'm watching a guy with a chainsaw and he's got an SPB on his wrist. I love it. This is rad. Yeah. Yeah. Super, super cool stuff. Yeah. Good for them. |
|James Stacey|All right. Yeah. So that was my, uh, my kind of final note, uh, James, what do you have this week? |
|Jason Heaton|Yeah. Mine's actually a video actually. I like it for very similar reasons to the video that, uh, you presented from from Becky. It's a it's this guy, Drew Sims, who have been following on YouTube for a while. He drives a Jeep around and does these kind of beautiful videos about hiking and living out of the Jeep and and that sort of thing. But this one I offer up because it's the production value and the lighting and just the execution of this video. It's about him hiking in Zion National Park, a hike called Angels Landing, which is known to be one of the most dangerous hikes in the US. And he does it in the snow. And I don't think I've ever seen Zion in the snow. Oh yeah. Shown like this. It's jaw droppingly beautiful. His execution. It's like you, you would swear you're watching, um, planet earth or, uh, you know, some sort of a screensaver made to show off a great television. Like it's just pixel perfect, beautifully graded. Uh, I'm a big fan of drew and, and sort of his, um, his ethos and temperament and, and sort of excitement for, uh, for life and life on the road and experiencing new things. And he's saying that he's done angels landing several times and he's done it in the snow before, but he had always wanted to make a video. And you kind of watch the day go through this kind of it's snowing when he starts and through parts of it. And then there's these parts where the sun kind of comes through and it's scenery like it's very hard to describe, but it's really, really gorgeous.  He does a lovely job. I, if you're not subscribed to drew Sims channel, it's definitely a must subscribe from a TGN standpoint, young guy kicking around in energy, looking at all sorts of beautiful stuff. And, and he does a lot of great drone work and he does a lot of great, the videography, the quality of the videography is very high. I don't know that it can get a lot higher in many ways, especially if you watch this. I'm sure, I'm sure he got lucky with some lighting, but even when the conditions are bad, you can tell that he knows exactly how to capture it. |
|Unknown|Yeah. |
|Jason Heaton| And I really like this. I watched this from someone who's produced some video before and has been in videos, obviously. And you watch and you go like, well, to get that, you had to, obviously, this is like what we said with Venture Forward with Chris Schantz channel, like every time that you watch him drive towards the camera, it means he drove there, set the camera up, set the focus, everything, drove out of frame and then came back in. And imagine doing that on a very dangerous hike in the snow. So he, you know, when he finishes it, at some point he tells you how long it took him. And he's like, I think, you know, I spent a good 50% of that, uh, setting up cameras and rewalking paths and stuff like that. Yeah. Yeah. I can't, uh, I can't suggest this one enough. You know, he put it up April 1st, it's got 80,000 views already. I hope we can, we can throw a chunk more at them. It's, it's an incredible piece of, um, like hike vlogging. Uh, this is, this is like among the peak of the genre for sure. Wow. Drew's doing a great job. I highly recommend. |
|James Stacey|Wow. That sounds, that sounds awesome. And, uh, given that it's about 90 degrees and 90% humidity here, I think a little bit of, Wintery hiking would be welcome to watch. So yeah, that's awesome. |
|Jason Heaton|Yeah. It makes me want to go grab Cole. He's in Salt Lake and get to Zion as soon as possible. That's an area I've never been to. |
|James Stacey|Yeah, same here. |
|Jason Heaton|And obviously I think I'm used to only seeing images from like the summer. Right. And I think when he gets to the very top of this hike, I think the viewpoint, I've seen that before in photos, but never like 50% covered in snow.  the colors and the rock and the white and the rest of it. It's jaw dropping. I watched this and I couldn't believe what I was seeing on my screen. It's so beautiful. Really, really nice work. |
|James Stacey|Cool. Well, that was a fun episode. I'm starting to fade here from jet lag. It's coming up on... I don't know what time it is, but I actually I skipped the nap this afternoon, so I'm starting to work my way out of jet lag, but I'm getting a little sleepy, but it was great to catch up from opposite sides of the world and kind of do the download from Watches and Wonders for sure. And I hope everyone enjoyed it. And as you mentioned earlier, I mean, if we missed anything, certainly drop it in the comments, but as always, thanks so much for listening. If you want to subscribe to the show notes, get into the comments for each episode or consider supporting the show directly, and you could even grab a new TGN signed NATO, please visit TheGreyNATO.com. |
|Jason Heaton| And we leave you with this quote from Mae West who said, too much of a good thing can be wonderful. |
